Indonesian,English
lusin,dozen
sebelas,eleven
belas,twelve
delapan,eight
tujuh,seven
jumlah,amount
enam,six
kurang,not enough
nomor,number
sama,The same
tambah,plus
empat,four
nol,zero
dua,two
satu,One
tiga,three
lain,other
bahagia,happy
biasa,normal
pintar,clever
mudah,easy
bodoh,stupid
rusak,damaged
sulit,difficult
sempurna,perfect
bersih,clean
dekat,near
jauh,Far
miskin,poor
panjang,long
muda,young
tua,old
jelek,Bad
pendek,short
tinggi,tall
cantik,Beautiful
sedikit,A little
hangat,warm
kecil,small
betul,right
dingin,cold
menolak,reject
menutup,close
memesan,order
memanggil,call
memilih,choose
mencari,look for
mendapat,get
mencoba,try
menjual,sell
mendengar,hear
menjaga,guard
membangun,build
memberi,give
membuat,make
membantu,help
membayar,pay
meminum,drinking
memakan,eat
memulai,start
melempar,throw
oranye,orange
abu-abu,gray
ungu,purple
warna,color
biru,blue
salah,Wrong
kapan,When
apa,What
di mana,Where
bagaimana,How
berasal,originate
berpikir,think
bermain,play
berharap,hope
bersama,together
bergerak,move
belajar,Study
berlaku,valid
bekerja,Work
berkembang,develop
berbicara,speak
bertemu,meet
berubah,changed
